HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6505.00.90","3","Other","","20.7¢/kg + 7.5%","Free (AU,BH, CL,CO,IL, JO,KR,MA,NP,OM,P, PA,PE,S,SG)","99.2¢/kg + 65%","",""
"6505.00.90.30","4","Containing 70 percent or more by weight of silk or silk waste (759)","[""doz."",""kg""]","","","","",""
"","4","Other:","","","","","",""
"6505.00.90.45","5","Of fine animal hair (459)","[""doz."",""kg""]","","","","",""
"6505.00.90.50","5","Of paper yarn","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"6505.00.90.76","6","Of unspun vegetable fibers","[""doz."",""kg""]","","","","",""
"6505.00.90.89","6","Other (859)","[""doz."",""kg""]","","","","",""
"6506","0","Other headgear, whether or not lined or trimmed:","","","","","",""
"6506.10","1","Safety headgear:","","","","","",""
"6506.10.30","2","Of reinforced or laminated plastics","","Free","","$1.10/kg + 40%","",""
"6506.10.30.30","3","Motorcycle helmets","[""No."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6506.10.30.45","4","Athletic, recreational and sporting headgear","[""doz."",""kg""]","","","","",""
"6506.10.30.75","4","Other","[""doz."",""kg""]","","","","",""
"6506.10.60","2","Other","","Free","","25%","",""
"6506.10.60.30","3","Motorcycle helmets","[""No."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6506.10.60.45","4","Athletic, recreational and sporting headgear","[""doz."",""kg""]","","","","",""
"6506.10.60.75","4","Other","[""doz."",""kg""]","","","","",""
"","1","Other:","","","","","",""
"6506.91.00","2","Of rubber or plastics","","Free","","25%","",""
"6506.91.00.30","3","Bathing caps","[""doz."",""kg""]","","","","",""
"6506.91.00.45","3","Visors, or other headgear which provides no covering for the crown of the head","[""doz."",""kg""]","","","","",""
"6506.91.00.60","3","Other","[""doz."",""kg""]","","","","",""
"6506.99","2","Of other materials:","","","","","",""
"6506.99.30.00","3","Of furskin","[""doz."",""kg""]","3.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,NP,OM,P,PA,PE,S,SG)","50%","",""
"6506.99.60.00","3","Other","[""doz."",""kg""]","8.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,NP,OM,P,PA,PE,S,SG)","35%","",""
"6507.00.00.00","0","Headbands, linings, covers, hat foundations, hat frames, peaks (visors) and chin straps, for headgear","[""doz."",""kg""]","Free","","35%","",""
"6601","0","Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas):","","","","","",""
"6601.10.00.00","1","Garden or similar umbrellas","[""doz.""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","1","Other:","","","","","",""
"6601.91.00.00","2","Having a telescopic shaft","[""doz.""]","Free","","40%","",""
"6601.99.00.00","2","Other","[""doz.""]","8.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"6602.00.00.00","0","Walking-sticks, seat-sticks, whips, riding-crops and the like","[""No.""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"6603","0","Parts, trimmings and accessories of articles of heading 6601 or 6602:","","","","","",""
"6603.20","1","Umbrella frames, including frames mounted on shafts (sticks):","","","","","",""
"6603.20.30.00","2","For hand-held umbrellas chiefly used for protection against rain","[""No.""]","Free","","60%","",""
"6603.20.90.00","2","Other","[""No.""]","12%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6603.90","1","Other:","","","","","",""
"6603.90.41.00","2","Umbrella handles, knobs, tips and caps","[""kg""]","Free","","45%","",""
"6603.90.81.00","2","Other","[""kg""]","5.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"6701.00","0","Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes):","","","","","",""
"6701.00.30.00","1","Articles of feathers or down","[""No.""]","4.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6701.00.60.00","1","Other","[""kg""]","4.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6702","0","Artificial flowers, foliage and fruit and parts thereof; articles made of artificial flowers, foliage or fruit:","","","","","",""
"6702.10","1","Of plastics:","","","","","",""
"6702.10.20.00","2","Assembled by binding with flexible materials such as wire, paper, textile materials, or foil, or by gluing or by similar methods","[""No.""]","8.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6702.10.40.00","2","Other, including parts","[""No.""]","3.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"6702.90","1","Of other materials:","","","","","",""
"6702.90.10.00","2","Of feathers","[""No.""]","4.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"","2","Other:","","","","","",""
"6702.90.35.00","3","Of man-made fibers","[""No.""]","9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","71.5%","",""
"6702.90.65.00","3","Other","[""No.""]","17%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"6703.00","0","Human hair, dressed, thinned, bleached or otherwise worked; wool or other animal hair or other textile materials, prepared for use in making wigs or the like:","","","","","",""
"6703.00.30.00","1","Human hair","[""kg""]","Free","","20%","",""
"6703.00.60.00","1","Other","[""kg""]","Free","","35%","",""
"6704","0","Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair not elsewhere specified or included:","","","","","",""
"","1","Of synthetic textile materials:","","","","","",""
"6704.11.00.00","2","Complete wigs","[""No.""]","Free","","35%","",""
"6704.19.00.00","2","Other","[""No.""]","Free","","35%","",""
"6704.20.00.00","1","Of human hair","[""No.""]","Free","","35%","",""
"6704.90.00.00","1","Of other materials","[""No.""]","Free","","35%","",""
"6801.00.00.00","0","Setts, curbstones and flagstones, of natural stone (except slate)","[""t""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6802","0","Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):","","","","","",""
"6802.10.00.00","1","Tiles, cubes and similar articles, whether or not rectangular (including square), the largest face of which is capable of being enclosed in a square the side of which is less than <il>7 cm</il>; artificially colored granules, chippings and powder","[""kg""]","4.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","1","Other monumental or building stone and articles thereof, simply cut or sawn, with a flat or even surface:","","","","","",""
"6802.21","2","Marble, travertine and alabaster:","","","","","",""
"6802.21.10.00","3","Travertine","[""t""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.21.50.00","3","Other","[""t""]","1.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13%","",""
"6802.23.00.00","2","Granite","[""t""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6802.29","2","Other stone:","","","","","",""
"6802.29.10.00","3","Calcareous stone, other than marble, travertine or alabaster","[""t""]","4.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.29.90.00","3","Other","[""t""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","1","Other:","","","","","",""
"6802.91","2","Marble, travertine and alabaster:","","","","","",""
"","3","Marble:","","","","","",""
"6802.91.05.00","4","Slabs","[""t""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15%","",""
"6802.91.15.00","4","Other","[""t""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","3","Travertine:","","","","","",""
"6802.91.20.00","4","Articles of subheading 6802.21.10 that have been dressed or polished, but not further worked","[""t""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.91.25.00","4","Other","[""t""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"6802.91.30.00","3","Alabaster","[""t""]","4.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.92.00.00","2","Other calcareous stone","[""t""]","4.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.93.00","2","Granite","","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6802.93.00.10","3","Articles for monumental or building purposes of subheading 6802.23.00, not cut to size, with only one face surface-worked more than simply cut or sawn","[""t""]","","","","",""
"","3","Articles for monumental or building purposes of subheading 6802.23.00, cut to size, with one or more faces or edges surface-worked more than simply cut or sawn:","","","","","",""
"6802.93.00.20","4","With a maximum thickness of <il>1.5 cm</il>","[""t""]","","","","",""
"6802.93.00.25","4","With a maximum thickness greater than <il>1.5 cm</il> but not greater than <il>7.5 cm</il>","[""t""]","","","","",""
"","4","With a maximum thickness greater than <il>7.5 cm:</il>","","","","","",""
"6802.93.00.35","5","Monuments, bases and markers","[""t""]","","","","",""
"6802.93.00.60","5","Other","[""t""]","","","","",""
"6802.93.00.90","3","Other","[""t""]","","","","",""
"6802.99.00","2","Other stone","","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"6802.99.00.30","3","Monuments, bases and markers","[""t""]","","","","",""
"","3","Other:","","","","","",""
"","4","Quartzite:","","","","","",""
"6802.99.00.50","5","Slabs","[""t""]","","","","",""
"6802.99.00.70","5","Other","[""t""]","","","","",""
"6802.99.00.90","4","Other","[""t""]","","","","",""
"6803.00","0","Worked slate and articles of slate or of agglomerated slate:","","","","","",""
"6803.00.10.00","1","Roofing slate","[""m<sup>2<\/sup>""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"6803.00.50.00","1","Other","[""t""]","Free","","25%","",""
"6804","0","Millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives, or of ceramics, with or without parts of other materials:","","","","","",""
"6804.10.00.00","1","Millstones and grindstones for milling, grinding or pulping","[""No.""]","Free","","Free","",""
"","1","Other millstones, grindstones, grinding wheels and the like:","","","","","",""
"6804.21.00","2","Of agglomerated synthetic or natural diamond","","Free","","30%","",""
"6804.21.00.10","3","Segments for circular sawblades, consisting of diamond agglomerated with metal","[""No.""]","","","","",""
"6804.21.00.20","3","Articles consisting of a continuous rim segment of diamond agglomerated with metal, attached to circular plates of steel (whether or not attached to non-steel plates)","[""No.""]","","","","",""
"6804.21.00.30","3","Articles consisting of multiple segments of diamond agglomerated with metal, attached to circular plates of steel, without cutting parts (whether or not attached to non-steel plates)","[""No.""]","","","","",""
"6804.21.00.90","3","Other","[""No.""]","","","","",""
"6804.22","2","Of other agglomerated abrasives or of ceramics:","","","","","",""
"6804.22.10.00","3","Bonded with synthetic resins","[""kg""]","5¢/kg + 2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.10/kg + 40%","",""
"","3","Other:","","","","","",""
"6804.22.40.00","4","Abrasive wheels","[""No.""]","Free","","20%","",""
"6804.22.60.00","4","Other","[""kg""]","Free","","30%","",""
"6804.23.00.00","2","Of natural stone","[""No.""]","Free","","Free","",""
"6804.30.00.00","1","Hand sharpening or polishing stones","[""No.""]","Free","","Free","",""
"6805","0","Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to shape or sewn or otherwise made up:","","","","","",""
"6805.10.00.00","1","On a base of woven textile fabric only","[""kg""]","Free","","20%","",""
"6805.20.00.00","1","On a base of paper or paperboard only","[""kg""]","Free","","20%","",""
"6805.30","1","On a base of other materials:","","","","","",""
"6805.30.10.00","2","Articles wholly or partly coated with abrasives, in the form of sheets, strips, disks, belts, sleeves or similar forms","[""kg""]","Free","","20%","",""
"6805.30.50.00","2","Other","[""kg""]","Free","","20%","",""
"6806","0","Slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those of heading 6811 or 6812, or of chapter 69:","","","","","",""
"6806.10.00","1","Slag wool, rock wool and similar mineral wools (including intermixtures thereof), in bulk, sheets or rolls","","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"6806.10.00.10","2","Accoustical pads and boards","[""m<sup>2<\/sup>""]","","","","",""
"","2","Other:","","","","","",""
"6806.10.00.20","3","Batts, not exceeding <il>61 cm</il> in width","[""m<sup>2<\/sup>""]","","","","",""
"6806.10.00.40","3","Batts, exceeding <il>61 cm</il> in width","[""m<sup>2<\/sup>""]","","","","",""
"6806.10.00.60","3","Pipe coverings","[""m<sup>2<\/sup>""]","","","","",""
"6806.10.00.90","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"6806.20.00.00","1","Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials (including intermixtures thereof)","[""kg""]","Free","","30%","",""
"6806.90.00","1","Other","","Free","","30%","",""
"6806.90.00.10","2","Accoustical pads and boards","[""m<sup>2<\/sup>""]","","","","",""
"","2","Other:","","","","","",""
"6806.90.00.20","3","Of molded calcium silicate","[""m<sup>2<\/sup>""]","","","","",""
"6806.90.00.90","3","Other","[""kg""]","","","","",""
"6807","0","Articles of asphalt or of similar material (for example, petroleum bitumen or coal tar pitch):","","","","","",""
"6807.10.00.00","1","In rolls","[""kg""]","Free","","30%","",""
"6807.90.00","1","Other","","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"6807.90.00.10","2","Articles of a kind used for roofing or siding","[""kg""]","","","","",""
"6807.90.00.50","2","Other","[""kg""]","","","","",""
"6808.00.00.00","0","Panels, boards, tiles, blocks and similar articles of vegetable fiber, of straw or of shavings, chips, particles, sawdust or other waste, of wood, agglomerated with cement, plaster or other mineral binders","[""m<sup>2<\/sup>"",""kg""]","Free","","20%","",""
"6809","0","Articles of plaster or of compositions based on plaster:","","","","","",""
"","1","Boards, sheets, panels, tiles and similar articles, not ornamented:","","","","","",""
"6809.11.00","2","Faced or reinforced with paper or paperboard only","","Free","","30%","",""
"6809.11.00.10","3","Of gypsum plaster","[""kg"",""m<sup>2<\/sup>""]","","","","",""
"6809.11.00.80","3","Other","[""kg"",""m<sup>2<\/sup>""]","","","","",""
"6809.19.00.00","2","Other","[""m<sup>2<\/sup>""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"6809.90.00.00","1","Other articles","[""kg""]","Free","","60%","",""
"6810","0","Articles of cement, of concrete or of artificial stone, whether or not reinforced:","","","","","",""
"","1","Tiles, flagstones, bricks and similar articles:","","","","","",""
"6810.11.00","2","Building blocks and bricks","","3.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"6810.11.00.10","3","Containing by weight more than <il>70 percent</il> magnesia, expressed as MgO, with carbon content ranging from trace amounts to less than <il>30 percent</il>, and chemically bonded by resin or pitch","[""m<sup>2<\/sup>""]","","","","",""
"6810.11.00.70","3","Other","[""t""]","","","","",""
"6810.19","2","Other:","","","","","",""
"","3","Floor and wall tiles:","","","","","",""
"6810.19.12.00","4","Of stone agglomerated with binders other than cement","[""m<sup>2<\/sup>""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"6810.19.14.00","4","Other","[""m<sup>2<\/sup>""]","9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6810.19.50.00","3","Other","[""t""]","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","1","Other articles:","","","","","",""
"6810.91.00.00","2","Prefabricated structural components for building or civil engineering","[""t""]","Free","","30%","",""
"6810.99.00","2","Other","","Free","","30%","",""
"","3","Agglomerated quartz slabs of the type used for countertops:","","","","","",""
"6810.99.00.20","4","In slabs of rectangular shape, with a length of 3 m or more and a width of 1.25 m or more","[""m<sup>2<\/sup>""]","","","","",""
